"day","machine","Well.ID","line","pipettor","note","file","mateA","mateB","genotype","RDH","n_bott","growth","Init_OD","OD_at_maxslope","time_at_maxslope","control","ploidy","plate","row","col"
1,2,"38","15x15","linnea","","day1.csv","15","15","homozygote","wt",100,0.245040767940519,0.255666666666667,0.717,13,FALSE,"diploid","1",8,3
1,2,"39","88x93","linnea","","day1.csv","88","93","heterozygote","wt",100,0.26073771279278,0.256666666666667,0.795,15,FALSE,"diploid","1",9,3
1,2,"40","56x67","linnea","","day1.csv","56","67","heterozygote","wt",100,0.226664663374732,0.257,0.765,14.5,FALSE,"diploid","1",10,3
1,2,"41","46","linnea","","day1.csv","46",NA,"haploid","del",0,0.210052959140339,0.261666666666667,0.739,13.5,TRUE,"haploid","1",1,4
1,2,"42","64x46","linnea","","day1.csv","64","46","heterozygote","del",100,0.256940531628835,0.260666666666667,0.595,9.5,FALSE,"diploid","1",2,4
1,2,"43","25x96","linnea","","day1.csv","25","96","heterozygote","del",100,0.246367099859812,0.255666666666667,0.712,11,FALSE,"diploid","1",3,4
1,2,"44","30x67","linnea","","day1.csv","30","67","heterozygote","wt",100,0.245218853381357,0.258,0.832,15,FALSE,"diploid","1",4,4
1,2,"45","53x53","linnea","","day1.csv","53","53","homozygote","del",100,0.245018020864074,0.254,0.76,13,FALSE,"diploid","1",5,4
1,2,"46","121","linnea","","day1.csv","121",NA,"haploid","wt",87,0.222686634201996,0.255333333333333,0.776,13,FALSE,"haploid","1",6,4
1,2,"47","93x93","linnea","","day1.csv","93","93","homozygote","wt",0,0.23631882154207,0.259166666666667,0.615,13.5,TRUE,"diploid","1",7,4
1,2,"48","91x20","linnea","","day1.csv","91","20","heterozygote","wt",0,0.232126313487457,0.257666666666667,0.821,15.5,TRUE,"diploid","1",8,4
1,2,"49","111x111","linnea","","day1.csv","111","111","homozygote","wt",87,0.247204847145244,0.256,0.955,15,FALSE,"diploid","1",9,4
1,2,"50","136x20","linnea","","day1.csv","136","20","heterozygote","wt",0,0.24390922755968,0.252,0.826,16.5,TRUE,"diploid","1",10,4
1,2,"51","82x82","linnea","","day1.csv","82","82","homozygote","wt",100,0.241131296008223,0.259833333333333,0.652,13,FALSE,"diploid","1",1,5
1,2,"52","110x93","linnea","","day1.csv","110","93","heterozygote","wt",87,0.239679382771363,0.2595,0.845,14.5,FALSE,"diploid","1",2,5
1,2,"53","65","linnea","","day1.csv","65",NA,"haploid","wt",100,0.272461725800421,0.262,0.737,13,FALSE,"haploid","1",3,5
1,2,"54","64x64","linnea","","day1.csv","64","64","homozygote","del",100,0.253086672008518,0.258,0.583,9.5,FALSE,"diploid","1",4,5
1,2,"55","134x134","linnea","","day1.csv","134","134","homozygote","del",0,0.238555296797061,0.256833333333333,0.806,14,TRUE,"diploid","1",5,5
1,2,"56","134x135","linnea","","day1.csv","134","135","heterozygote","del",0,0.278337126752293,0.2555,0.593,11.5,TRUE,"diploid","1",6,5
1,2,"57","57","linnea","","day1.csv","57",NA,"haploid","del",100,0.231889979757094,0.260833333333333,0.709,13,FALSE,"haploid","1",7,5
1,2,"58","32x96","linnea","","day1.csv","32","96","heterozygote","del",100,0.221626161284183,0.2575,0.589,11.5,FALSE,"diploid","1",8,5
1,2,"59","86x46","linnea","","day1.csv","86","46","heterozygote","del",100,0.238220615017548,0.2605,0.571,9.5,FALSE,"diploid","1",9,5
1,2,"60","72x96","linnea","","day1.csv","72","96","heterozygote","del",0,0.26200068501403,0.256166666666667,0.59,9.5,TRUE,"diploid","1",10,5
1,2,"61","113x93","linnea","","day1.csv","113","93","heterozygote","wt",87,0.206095803234607,0.257,0.697,13.5,FALSE,"diploid","1",1,6
