Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
2,B5,61x95,1,na,,,,,,,,,,,,,,,
2,B6,62x62,1,na,,,,,,,,,,,,,,,
2,B7,62x67,1,na,,,,,,,,,,,,,,,
2,B8,63x63,1,na,,,,,,,,,,,,,,,
2,B9,63x48,1,na,,,,,,,,,,,,,,,
2,B10,64x64,1,na,,,,,,,,,,,,,,,
2,B11,64x134,1,na,,,,,,,,,,,,,,,
2,B12,65x65,1,na,,,,,,,,,,,,,,,
2,C1,65x92,1,na,,,,,,,,,,,,,,,
2,C2,66x66,1,na,,,,,,,,,,,,,,,
2,C3,66x136,1,na,,,,,,,,,,,,,,,
2,C4,67x67,1,na,,,,,,,,,,,,,,,
2,C5,67x92,1,na,,,,,,,,,,,,,,,
2,C6,68x68,1,na,,,,,,,,,,,,,,,
2,C7,68x136,1,na,,,,,,,,,,,,,,,
2,C8,69x69,1,na,,,,,,,,,,,,,,,
2,C9,69x67,1,na,,,,,,,,,,,,,,,
2,C10,70x70,1,na,,,,,,,,,,,,,,,
2,C11,70x48,1,na,,,,,,,,,,,,,,,
2,C12,71x71,1,na,,,,,,,,,,,,,,,
2,D1,71x134,1,na,,,,,,,,,,,,,,,
2,D2,72x72,1,na,,,,,,,,,,,,,,,
2,D3,72x95,1,na,,,,,,,,,,,,,,,
2,D4,73x73,1,na,,,,,,,,,,,,,,,
2,D5,73x95,1,na,,,,,,,,,,,,,,,
2,D6,74x74,1,na,,,,,,,,,,,,,,,
2,D7,74x48,1,na,,,,,,,,,,,,,,,
2,D8,75x75,1,na,,,,,,,,,,,,,,,
2,D9,75x67,1,na,,,,,,,,,,,,,,,
2,D10,76x76,1,na,,,,,,,,,,,,,,,
2,D11,76x134,1,na,,,,,,,,,,,,,,,
2,D12,77x77,1,na,,,,,,,,,,,,,,,
2,E1,77x95,1,na,,,,,,,,,,,,,,,
2,E2,78x92,1,na,,,,,,,,,,,,,,,
2,E3,79x79,1,na,,,,,,,,,,,,,,,
2,E4,79x48,1,na,,,,,,,,,,,,,,,
2,E5,80x80,1,na,,,,,,,,,,,,,,,
2,E6,80x134,1,na,,,,,,,,,,,,,,,
2,E7,81x81,1,na,,,,,,,,,,,,,,,
2,E8,81x136,1,na,,,,,,,,,,,,,,,
2,E9,82x82,1,na,,,,,,,,,,,,,,,
2,E10,82x67,1,na,,,,,,,,,,,,,,,
2,E11,84x48,1,na,,,,,,,,,,,,,,,
2,E12,85x85,1,na,,,,,,,,,,,,,,,
2,F1,85x92,1,na,,,,,,,,,,,,,,,
2,F2,86x86,1,na,,,,,,,,,,,,,,,
2,F3,86x134,1,na,,,,,,,,,,,,,,,
2,F4,88x88,1,na,,,,,,,,,,,,,,,
2,F5,88x136,1,na,,,,,,,,,,,,,,,
2,F6,89x89,1,na,,,,,,,,,,,,,,,
2,F7,89x48,1,na,,,,,,,,,,,,,,,
2,F8,90x90,1,na,,,,,,,,,,,,,,,
2,F9,90x48,1,na,,,,,,,,,,,,,,,
2,F10,91x91,1,na,,,,,,,,,,,,,,,
2,F11,92x92,1,na,,,,,,,,,,,,,,,
2,F12,92x136,1,na,,,,,,,,,,,,,,,
