"ID","anc_ID","MAT","RDH","MA","KO","mateA","petite"
"K42","89","a","wt",TRUE,TRUE,"42",TRUE
"M154","154","alpha","wt",TRUE,FALSE,NA,FALSE
"K92","alpha+1","alpha","wt",FALSE,TRUE,"92",FALSE
"K20","alpha+1","alpha","wt",FALSE,TRUE,"20",FALSE
"K19","a+1","a","wt",FALSE,TRUE,"19",FALSE
"M13","13","a","del",TRUE,FALSE,NA,FALSE
"K90","174","alpha","del",TRUE,TRUE,"90",FALSE
"K121","209","alpha","wt",TRUE,TRUE,"121",FALSE
"K131","220","a","del",TRUE,TRUE,"131",FALSE
"M129","129","a","wt",TRUE,FALSE,NA,FALSE
"M141","141","a","del",TRUE,FALSE,NA,FALSE
"M181","181","a","del",TRUE,FALSE,NA,FALSE
"K63","125","a","del",TRUE,TRUE,"63",FALSE
"Ma+1","a+1","a","wt",FALSE,FALSE,NA,FALSE
"K59","114","alpha","wt",TRUE,TRUE,"59",FALSE
"M6","6","alpha","del",TRUE,FALSE,NA,FALSE
"M38","38","alpha","del",TRUE,FALSE,NA,FALSE
"M50","50","alpha","wt",TRUE,FALSE,NA,FALSE
"M26","26","alpha","wt",TRUE,FALSE,NA,FALSE
"K40","85","a","del",TRUE,TRUE,"40",FALSE
"M21","21","a","del",TRUE,FALSE,NA,FALSE
"K14","30","alpha","del",TRUE,TRUE,"14",FALSE
"M17","17","a","wt",TRUE,FALSE,NA,FALSE
"K101","185","a","wt",TRUE,TRUE,"101",FALSE
"K127","215","alpha","wt",TRUE,TRUE,"127",TRUE
"K5","10","alpha","wt",TRUE,TRUE,"5",FALSE
"K98","178","alpha","wt",TRUE,TRUE,"98",FALSE
"K57","109","a","del",TRUE,TRUE,"57",FALSE
"K111","205","alpha","wt",TRUE,TRUE,"111",FALSE
"K97","177","a","wt",TRUE,TRUE,"97",FALSE
"K16","37","a","del",TRUE,TRUE,"16",FALSE
"K66","130","alpha","wt",TRUE,TRUE,"66",FALSE
"K60","117","a","del",TRUE,TRUE,"60",FALSE
"K104","193","a","wt",TRUE,TRUE,"104",FALSE
"K76","141","a","del",TRUE,TRUE,"76",FALSE
"K116","a-3","a","del",FALSE,TRUE,"116",FALSE
"K74","134","alpha","del",TRUE,TRUE,"74",FALSE
"M73","73","a","wt",TRUE,FALSE,NA,FALSE
"M118","118","alpha","del",TRUE,FALSE,NA,FALSE
"K95","a-2","a","del",FALSE,TRUE,"95",FALSE
"M169","169","a","wt",TRUE,FALSE,NA,FALSE
"M211","211","alpha","wt",TRUE,FALSE,NA,FALSE
"K65","129","a","wt",TRUE,TRUE,"65",FALSE
"K81","153","a","wt",TRUE,TRUE,"81",FALSE
"M197","197","a","del",TRUE,FALSE,NA,FALSE
"M193","193","a","wt",TRUE,FALSE,NA,FALSE
"M49","49","a","wt",TRUE,FALSE,NA,FALSE
"K31","61","a","del",TRUE,TRUE,"31",FALSE
"K88","169","a","wt",TRUE,TRUE,"88",FALSE
"K55","105","a","wt",TRUE,TRUE,"55",FALSE
"K135","alpha-3","alpha","del",FALSE,TRUE,"135",FALSE
"K82","154","alpha","wt",TRUE,TRUE,"82",FALSE
"M78","78","alpha","del",TRUE,FALSE,NA,FALSE
"M109","109","a","del",TRUE,FALSE,NA,FALSE
"K44","alpha+2","alpha","wt",FALSE,TRUE,"44",FALSE
"M174","174","alpha","del",TRUE,FALSE,NA,FALSE
"K17","38","alpha","del",TRUE,TRUE,"17",FALSE
"K18","41","a","wt",TRUE,TRUE,"18",FALSE
"K110","204","alpha","wt",TRUE,TRUE,"110",FALSE
"M157","157","a","del",TRUE,FALSE,NA,FALSE
"K71","alpha-1","alpha","del",FALSE,TRUE,"71",FALSE
"M85","85","a","del",TRUE,FALSE,NA,FALSE
"M145","145","a","wt",TRUE,FALSE,NA,FALSE
"K75","137","a","wt",TRUE,TRUE,"75",FALSE
"K47","a-3","a","del",FALSE,TRUE,"47",FALSE
"K24","alpha-2","alpha","del",FALSE,TRUE,"24",FALSE
"K96","alpha-1","alpha","del",FALSE,TRUE,"96",FALSE
"M214","214","alpha","wt",TRUE,FALSE,NA,FALSE
"M206","206","alpha","wt",TRUE,FALSE,NA,FALSE
"M133","133","a","del",TRUE,FALSE,NA,FALSE
"M210","210","alpha","wt",TRUE,FALSE,NA,FALSE
"K89","173","a","del",TRUE,TRUE,"89",FALSE
"M173","173","a","del",TRUE,FALSE,NA,FALSE
"M220","220","a","del",TRUE,FALSE,NA,FALSE
"M5","5","a","del",TRUE,FALSE,NA,FALSE
"M89","89","a","wt",TRUE,FALSE,NA,FALSE
"M14","14","alpha","del",TRUE,FALSE,NA,FALSE
"M93","93","a","del",TRUE,FALSE,NA,FALSE
"M208","208","alpha","wt",TRUE,FALSE,NA,FALSE
"M150","150","alpha","del",TRUE,FALSE,NA,FALSE
"M1","1","a","wt",TRUE,FALSE,NA,FALSE
"M202","202","alpha","wt",TRUE,FALSE,NA,FALSE
"K68","a+2","a","wt",FALSE,TRUE,"68",FALSE
"M65","65","a","wt",TRUE,FALSE,NA,FALSE
"K8","17","a","wt",TRUE,TRUE,"8",FALSE
"M177","177","a","wt",TRUE,FALSE,NA,FALSE
"K79","149","a","del",TRUE,TRUE,"79",FALSE
"M117","117","a","del",TRUE,FALSE,NA,FALSE
"M62","62","alpha","del",TRUE,FALSE,NA,FALSE
"K107","198","alpha","del",TRUE,TRUE,"107",FALSE
"K54","102","alpha","del",TRUE,TRUE,"54",FALSE
"M57","57","a","wt",TRUE,FALSE,NA,FALSE
"M186","186","alpha","wt",TRUE,FALSE,NA,FALSE
"K43","a+3","a","wt",FALSE,TRUE,"43",FALSE
"M121","121","a","wt",TRUE,FALSE,NA,FALSE
"Malpha+2","alpha+2","alpha","wt",FALSE,FALSE,NA,FALSE
"K87","166","alpha","del",TRUE,TRUE,"87",FALSE
"K22","alpha-1","alpha","del",FALSE,TRUE,"22",FALSE
"M165","165","a","del",TRUE,FALSE,NA,FALSE
"K61","118","alpha","del",TRUE,TRUE,"61",FALSE
"K12","26","alpha","wt",TRUE,TRUE,"12",FALSE
"K136","a+3","a","wt",FALSE,TRUE,"136",FALSE
"K108","202","alpha","wt",TRUE,TRUE,"108",FALSE
"K50","94","alpha","del",TRUE,TRUE,"50",FALSE
"M105","105","a","wt",TRUE,FALSE,NA,FALSE
"M113","113","a","wt",TRUE,FALSE,NA,FALSE
"K80","150","alpha","del",TRUE,TRUE,"80",FALSE
"M218","218","alpha","wt",TRUE,FALSE,NA,FALSE
"K120","a-1","a","del",FALSE,TRUE,"120",FALSE
"K11","25","a","wt",TRUE,TRUE,"11",FALSE
"M216","216","alpha","del",TRUE,FALSE,NA,FALSE
"M209","209","alpha","wt",TRUE,FALSE,NA,FALSE
"K7","14","alpha","del",TRUE,TRUE,"7",FALSE
"M94","94","alpha","del",TRUE,FALSE,NA,FALSE
"M97","97","a","wt",TRUE,FALSE,NA,FALSE
"M102","102","alpha","del",TRUE,FALSE,NA,FALSE
"M45","45","a","del",TRUE,FALSE,NA,FALSE
"K46","a-2","a","del",FALSE,TRUE,"46",FALSE
"M213","213","alpha","wt",TRUE,FALSE,NA,FALSE
"K103","190","alpha","del",TRUE,TRUE,"103",FALSE
"K117","alpha-3","alpha","del",FALSE,TRUE,"117",FALSE
"K25","45","a","del",TRUE,TRUE,"25",FALSE
"K85","161","a","wt",TRUE,TRUE,"85",FALSE
"M106","106","alpha","wt",TRUE,FALSE,NA,FALSE
"K10","22","alpha","del",TRUE,TRUE,"10",FALSE
"K41","86","alpha","del",TRUE,TRUE,"41",FALSE
"K48","alpha-3","alpha","del",FALSE,TRUE,"48",FALSE
"K36","73","a","wt",TRUE,TRUE,"36",FALSE
"K78","145","a","wt",TRUE,TRUE,"78",FALSE
"K99","181","a","del",TRUE,TRUE,"99",FALSE
"M158","158","alpha","del",TRUE,FALSE,NA,FALSE
"M215","215","alpha","wt",TRUE,FALSE,NA,FALSE
"K1","1","a","wt",TRUE,TRUE,"1",FALSE
"K93","alpha+2","alpha","wt",FALSE,TRUE,"93",FALSE
"M130","130","alpha","wt",TRUE,FALSE,NA,FALSE
"K125","213","alpha","wt",TRUE,TRUE,"125",FALSE
"K122","210","alpha","wt",TRUE,TRUE,"122",TRUE
"M219","219","alpha","del",TRUE,FALSE,NA,FALSE
"K124","212","alpha","wt",TRUE,TRUE,"124",FALSE
"K70","a-1","a","del",FALSE,TRUE,"70",FALSE
