"Group","Line","Ploidy","MAT","RDH54"
"control",382,"hap","a","wt"
"MA",178,"hap","alpha","wt"
"control",330,"hap","alpha","wt"
"MA",220,"hap","a","del"
"control",320,"hap","a","wt"
"MA",83,"dip","dip","wt"
"MA",202,"hap","alpha","wt"
"MA",215,"hap","alpha","wt"
"MA",40,"dip","dip","del"
"MA",43,"dip","dip","wt"
"MA",198,"hap","alpha","del"
"MA",4,"dip","dip","wt"
"MA",152,"dip","dip","del"
"control",414,"hap","a","del"
"MA",52,"dip","dip","wt"
"MA",184,"dip","dip","del"
"MA",142,"hap","alpha","del"
"control",364,"dip","dip","wt"
"control",479,"hap","alpha","del"
"MA",1,"hap","a","wt"
"control",373,"dip","dip","wt"
"MA",181,"hap","a","del"
"control",374,"dip","dip","wt"
"control",398,"dip","dip","del"
"MA",193,"hap","a","wt"
"MA",12,"dip","dip","wt"
"MA",183,"dip","dip","del"
"control",450,"hap","alpha","wt"
"control",356,"hap","alpha","del"
"MA",133,"hap","a","del"
"MA",185,"hap","a","wt"
"control",386,"hap","alpha","wt"
"MA",166,"hap","alpha","del"
"MA",143,"dip","dip","del"
"MA",160,"dip","dip","del"
"control",322,"hap","a","wt"
"MA",129,"hap","a","wt"
"control",308,"dip","dip","wt"
"control",442,"hap","a","wt"
"MA",168,"dip","dip","del"
"MA",103,"dip","dip","del"
"control",406,"dip","dip","del"
"control",419,"hap","alpha","del"
"control",366,"dip","dip","wt"
"control",437,"dip","dip","wt"
"control",444,"hap","a","wt"
"MA",116,"dip","dip","wt"
"control",355,"hap","a","del"
"control",323,"hap","a","wt"
"MA",99,"dip","dip","wt"
"MA",159,"dip","dip","del"
"control",325,"hap","alpha","wt"
"MA",140,"dip","dip","wt"
"MA",128,"dip","dip","del"
"MA",38,"hap","alpha","del"
"MA",134,"hap","alpha","del"
"MA",199,"dip","dip","del"
"control",365,"dip","dip","wt"
"control",304,"dip","dip","wt"
"MA",156,"dip","dip","wt"
"control",476,"hap","alpha","del"
"control",334,"dip","dip","del"
"MA",29,"hap","a","del"
"MA",25,"hap","a","wt"
"MA",54,"hap","alpha","del"
"MA",219,"hap","alpha","del"
"control",326,"hap","alpha","wt"
"control",383,"hap","a","wt"
"control",474,"hap","a","del"
"MA",34,"dip","dip","wt"
"control",401,"dip","dip","del"
"MA",146,"dip","dip","wt"
"MA",92,"dip","dip","wt"
"control",473,"hap","a","del"
"control",335,"dip","dip","del"
"control",399,"dip","dip","del"
"MA",80,"dip","dip","del"
"MA",172,"dip","dip","wt"
"MA",148,"dip","dip","wt"
"MA",123,"dip","dip","wt"
"MA",21,"hap","a","del"
"MA",35,"dip","dip","wt"
