"sample","mateA","mateB","type","RDH","n_bott","petite","group"
"111x92","111",92,"heterozygote","wt",87,TRUE,"MA"
"4x134","4",134,"heterozygote","del",100,FALSE,"MA"
"6x95","6",95,"heterozygote","del",100,FALSE,"MA"
"49x49","49",49,"homozygote","del",100,FALSE,"MA"
"18x92","18",92,"heterozygote","wt",100,FALSE,"MA"
"95","95",NA,"haploid","del",0,FALSE,"control"
"112x136","112",136,"heterozygote","wt",87,TRUE,"MA"
"60","60",NA,"haploid","del",100,FALSE,"MA"
"114","114",NA,"haploid","wt",87,FALSE,"MA"
"31x31","31",31,"homozygote","del",100,TRUE,"MA"
"4x4","4",4,"homozygote","del",100,FALSE,"MA"
"97","97",NA,"haploid","wt",100,FALSE,"MA"
"19x92","19",92,"heterozygote","wt",0,TRUE,"control"
"8x8","8",8,"homozygote","wt",100,TRUE,"MA"
"81","81",NA,"haploid","wt",100,FALSE,"MA"
"96x95","96",95,"heterozygote","del",0,TRUE,"control"
"124","124",NA,"haploid","wt",87,FALSE,"MA"
"44","44",NA,"haploid","wt",0,FALSE,"control"
"78x92","78",92,"heterozygote","wt",100,TRUE,"MA"
"91","91",NA,"haploid","wt",0,FALSE,"control"
"16x134","16",134,"heterozygote","del",100,TRUE,"MA"
"95x134","95",134,"heterozygote","del",0,FALSE,"control"
"98x92","98",92,"heterozygote","wt",100,TRUE,"MA"
"116x48","116",48,"heterozygote","del",0,TRUE,"control"
"66x136","66",136,"heterozygote","wt",100,FALSE,"MA"
"95x95","95",95,"homozygote","del",0,FALSE,"control"
"112","112",NA,"haploid","wt",87,FALSE,"MA"
"86","86",NA,"haploid","del",100,FALSE,"MA"
"125x67","125",67,"heterozygote","wt",87,TRUE,"MA"
"87x87","87",87,"homozygote","del",100,TRUE,"MA"
"24x95","24",95,"heterozygote","del",0,FALSE,"control"
"62x62","62",62,"homozygote","wt",100,TRUE,"MA"
"63x63","63",63,"homozygote","del",100,TRUE,"MA"
"36","36",NA,"haploid","wt",100,FALSE,"MA"
"6x6","6",6,"homozygote","del",100,TRUE,"MA"
"76x134","76",134,"heterozygote","del",100,FALSE,"MA"
"57x57","57",57,"homozygote","del",100,TRUE,"MA"
"118x118","118",118,"homozygote","wt",0,TRUE,"control"
"72","72",NA,"haploid","del",0,FALSE,"control"
"85x92","85",92,"heterozygote","wt",100,FALSE,"MA"
"25x25","25",25,"homozygote","del",100,TRUE,"MA"
"59x59","59",59,"homozygote","wt",100,FALSE,"MA"
"93x93","93",93,"homozygote","wt",0,FALSE,"control"
"9x9","9",9,"homozygote","del",100,FALSE,"MA"
"37x134","37",134,"heterozygote","del",100,FALSE,"MA"
"5","5",NA,"haploid","wt",100,FALSE,"MA"
"109","109",NA,"haploid","wt",87,FALSE,"MA"
"41x134","41",134,"heterozygote","del",100,TRUE,"MA"
"91x91","91",91,"homozygote","wt",0,TRUE,"control"
"28x67","28",67,"heterozygote","wt",100,TRUE,"MA"
"87x95","87",95,"heterozygote","del",100,FALSE,"MA"
"34","34",NA,"haploid","del",100,FALSE,"MA"
"59","59",NA,"haploid","wt",100,FALSE,"MA"
"123","123",NA,"haploid","wt",87,FALSE,"MA"
"63x48","63",48,"heterozygote","del",100,FALSE,"MA"
"117","117",NA,"haploid","del",0,FALSE,"control"
"73","73",NA,"haploid","del",100,FALSE,"MA"
"6","6",NA,"haploid","del",100,FALSE,"MA"
"46x48","46",48,"heterozygote","del",0,TRUE,"control"
"92","92",NA,"haploid","wt",0,FALSE,"control"
"25x48","25",48,"heterozygote","del",100,TRUE,"MA"
"127x127","127",127,"homozygote","wt",87,TRUE,"MA"
"128x95","128",95,"heterozygote","del",53,TRUE,"MA"
"44x44","44",44,"homozygote","wt",0,TRUE,"control"
"15","15",NA,"haploid","wt",100,FALSE,"MA"
"2x2","2",2,"homozygote","wt",100,TRUE,"MA"
"39","39",NA,"haploid","wt",100,FALSE,"MA"
"46x46","46",46,"homozygote","del",0,FALSE,"control"
"3x3","3",3,"homozygote","del",100,FALSE,"MA"
"27","27",NA,"haploid","wt",100,FALSE,"MA"
