"Line.ID","dataset","machine","day","Plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"81x67","Jan2020",2,1,1,0.255833333333333,1.04466666666667,0.199932848216067,0.536,15,22.25,"81",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"81x67","Jan2020",2,1,2,0.251666666666667,1.03166666666667,0.147056624510977,0.535,14.5,22.25,"81",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"107x135","Jan2020",2,1,1,0.252666666666667,1.141,0.256867236586578,0.598,11,22.25,"107",135,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"109","Jan2020",2,1,1,0.263166666666667,1.18433333333333,0.256382197855176,0.66,11.5,22.25,"109",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,TRUE
"120x120","Jan2020",2,1,1,0.256166666666667,1.15233333333333,0.222862706045213,0.643,13,22.25,"120",120,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"120x120","Jan2020",2,1,2,0.256,1.16633333333333,0.228433576215936,0.654,13,22.25,"120",120,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"135","Jan2020",2,1,1,0.262833333333333,1.16016666666667,0.248399780145014,0.763,14,22.25,"135",NA,"haploid","haploid","del",TRUE,FALSE,TRUE,TRUE
"43","Jan2020",2,1,1,0.2625,1.10183333333333,0.252595485925045,0.697,13.5,22.25,"43",NA,"haploid","haploid","wt",TRUE,FALSE,TRUE,TRUE
"43","Jan2020",2,1,2,0.2595,1.3545,0.243121754001097,0.745,13,22.25,"43",NA,"haploid","haploid","wt",TRUE,FALSE,TRUE,TRUE
"50","Jan2020",2,1,1,0.264166666666667,1.29433333333333,0.278077973733803,0.74,11,22.25,"50",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,TRUE
"15x15","Jan2020",2,1,1,0.255666666666667,1.175,0.245040767940519,0.717,13,22.25,"15",15,"homozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"88x93","Jan2020",2,1,1,0.256666666666667,1.17466666666667,0.26073771279278,0.795,15,22.25,"88",93,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"88x93","Jan2020",2,1,2,0.2575,1.3795,0.226801577887792,0.629,13.5,22.25,"88",93,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"56x67","Jan2020",2,1,1,0.257,1.178,0.226664663374732,0.765,14.5,22.25,"56",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"46","Jan2020",2,1,1,0.261666666666667,1.2455,0.210052959140339,0.739,13.5,22.25,"46",NA,"haploid","haploid","del",TRUE,FALSE,TRUE,TRUE
"64x46","Jan2020",2,1,1,0.260666666666667,1.232,0.256940531628835,0.595,9.5,22.25,"64",46,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
